transferId,plugin,srcAbstractTokenId,srcValueUsd,duration
T-eeb44b2b-7ba5-49ff-8eef-a00d4215e6ed,across,MOCK02:ethereum:ETH,7.459828,21
T-002aa02b-fcfe-473c-8379-8931a8b00437,across,MOCK02:ethereum:ETH,6.738521,1
T-cbd7b74f-f926-47b3-9aae-0d9c156725db,across,MOCK01:circle:USDC,16.315348,2
T-3750807f-58a4-4854-af32-10569f173a5a,across,MOCK16:usdt0:USDT0,0,2
T-645de92d-dcdb-42d6-9159-0258d8c43496,across,MOCK03:tether:USDT,2198.573,8
T-9aac7351-8d0a-4df2-a181-17ead2009e99,across,MOCK03:tether:USDT,227.61403,1
T-57a21eca-e067-4dea-94c0-61d8df5e70ff,across,MOCK01:circle:USDC,499.916,2
T-ff30d6db-e96d-4e2f-8e6a-701fbabf74d6,across,MOCK01:circle:USDC,80.46691,9
T-0e93a7b4-35be-4151-8b88-f73bd29add94,across,MOCK02:ethereum:ETH,8.337634,1
T-5d2e2732-9f7a-432f-b064-5447018bad75,across,MOCK03:tether:USDT,4.09232,0
T-ed07d081-680f-4150-a461-8b4dfb1876a6,across,MOCK01:circle:USDC,16.278816,2
T-ebfda133-814f-4737-a004-afb4d01f1d23,across,MOCK02:ethereum:ETH,2.09418,1
T-84e03556-56c0-41b5-81ff-6e8990c551bd,across,MOCK02:ethereum:ETH,1.4811563,12
T-f0f1e3bb-a549-4f49-92ec-914bf96ac98e,across,MOCK03:tether:USDT,4.092321,6
T-3ee68beb-192b-403b-af04-81c7f5d43779,across,MOCK02:ethereum:ETH,7.394139,10
T-c26e7b3b-770b-4535-bed8-b9d2464f085e,across,MOCK02:ethereum:ETH,3.8180215,3
T-43bc6c24-32c5-46c3-b184-29cf0e00dacb,across,MOCK02:ethereum:ETH,23.122581,3
T-11fdf60e-7574-45bf-a497-261a972ef0e5,across,MOCK01:circle:USDC,49.9916,2
T-4b273371-38f2-40c4-b3c0-ea70c120dbbd,across,MOCK16:usdt0:USDT0,0,2
T-d844641d-115f-48ee-aa44-323ce1518de0,across,MOCK01:circle:USDC,199.9664,5
T-90557c41-8050-47b5-95e3-5d68dbf48e19,across,MOCK01:circle:USDC,172.81007,2
T-3e77a002-03ff-4e74-99a5-77c2535f3801,across,MOCK02:ethereum:ETH,0.6757503,2
T-2e443e38-b511-4144-8671-f64ce4e893c6,across,MOCK01:circle:USDC,4.362651,3
T-9035791b-bf7d-43e3-b1de-b90fdec0b5af,across,MOCK02:ethereum:ETH,2.993086,2
T-920ef3ea-8e5b-40c2-94f5-5ecbba7cfb9a,across,MOCK01:circle:USDC,142.31384,3
T-304f4de4-1baf-44e8-b608-b71a5a2dd4e7,across,MOCK02:ethereum:ETH,86.774155,2
T-e50c6b96-4c13-4fc3-9ba5-d1e2dc9e23f2,across,MOCK01:circle:USDC,18.626772,2
T-5d8a66a8-9806-4c20-8286-664a4a6f4c71,across,MOCK01:circle:USDC,1000.9273,2
T-ab269cd3-f206-4293-be29-8687ec992aa2,across,MOCK02:ethereum:ETH,1.04709,2
T-b3774122-f311-48e9-b3cf-747eb2deb0c0,across,MOCK02:ethereum:ETH,5.7502766,8
T-d47aa98a-d14d-4dd3-9ac2-5f75014de68e,across,MOCK02:ethereum:ETH,99.23616,0
T-9cf08bca-8a49-493b-b328-9c1c4bf4da9d,across,MOCK01:circle:USDC,1.009803,2
T-1082230c-dba5-4049-adcb-f99664e073fa,across,MOCK02:ethereum:ETH,3.784961,2
T-853a6c02-ccaa-431d-a7fb-5ed8f4bde671,across,MOCK02:ethereum:ETH,6.419786,5
T-a09cb497-c5cf-4f78-aa73-a184fcfe35a6,across,MOCK03:tether:USDT,1.023292,1
T-0c580a2e-3797-4c24-a1a4-e9b768d4ac97,across,MOCK02:ethereum:ETH,6.3914523,8
T-401e07ab-d688-4898-a5cd-698ffbd15503,across,MOCK01:circle:USDC,17.996508,2
T-b88a6bbd-b55b-4f2b-9514-e42714de838f,across,MOCK01:circle:USDC,11895.94,40
T-95ad2d53-83ef-486c-9251-57bdcf02b0fb,across,MOCK02:ethereum:ETH,4.889699,6
T-f539e74b-2dbc-4b65-afac-ea7f185aeec1,across,MOCK03:tether:USDT,144.33163,8
T-ddf7fa6c-3e53-4a5c-a226-07399f15d68a,across,MOCK02:ethereum:ETH,35.037,16
T-53617186-889e-45e4-9b45-89288a66d91d,across,MOCK01:circle:USDC,2.5850306,2
T-dd74306d-70a6-4d2c-b69a-8eebe3383b49,across,MOCK01:circle:USDC,80.65651,0
T-f05b5741-871e-4fa8-b4da-271731a1d048,across,MOCK02:ethereum:ETH,2.0941894,2
T-94576c9d-f930-4391-a215-dcdaede2452b,across,MOCK02:ethereum:ETH,191.42188,1
T-c1706bc8-bbb8-4291-82f8-517c35f751e5,across,MOCK02:ethereum:ETH,8.10579,1
T-40e2ecd2-306b-41ed-9d7f-19cc48726f66,across,MOCK02:ethereum:ETH,6.9915423,2
T-73007b25-dc3c-4623-be40-0cc1313ae9b7,across,MOCK02:ethereum:ETH,1.0567721,0
T-4a3bc121-3e58-4866-8477-318c346cc849,across,MOCK03:tether:USDT,4.09473,0
T-7b6bdb39-a1d5-4553-9ef6-0ec51e19380f,across,MOCK01:circle:USDC,80.09514,2
T-5e490e77-606f-402c-8f9a-b6b24b044f9e,across,MOCK02:ethereum:ETH,0.7719713,1
T-aae2f8b6-71df-4fd4-bbfe-5f1f92f75032,across,MOCK02:ethereum:ETH,1.9915535,10
T-168862d1-3fd7-463e-b625-59c31d76979b,across,MOCK02:ethereum:ETH,9.982123,4
T-d99cf362-ddde-4045-ac21-6f5c06c9c9bd,across,MOCK01:circle:USDC,2141.7083,1
T-056e3c06-6c2d-4059-8d62-3570421af874,across,MOCK02:ethereum:ETH,69.37067,2
T-0f60b374-b35c-4642-9a25-913607a1d987,across,MOCK02:ethereum:ETH,181.73427,2
T-5407fce8-f68e-475d-a753-e8613a89906a,across,MOCK02:ethereum:ETH,91.25459,2
T-b7d66990-a206-4918-94a2-468f4a8efe64,across,MOCK01:circle:USDC,22.772034,4
T-1f10d3a7-07bf-4c00-beaf-d4e005e39e35,across,MOCK01:circle:USDC,134.80298,0
T-c452d347-0b36-4969-86df-27412521886e,across,MOCK01:circle:USDC,4.589905,0
T-b35faedd-774d-49ee-a916-740834175983,across,MOCK01:circle:USDC,9457.504,28
T-fd94850c-ea30-4379-a057-97a5e5785620,across,MOCK02:ethereum:ETH,1.1199232,2
T-b23f88b8-a28e-4bf1-8d6f-e8fb13cb287d,across,MOCK02:ethereum:ETH,69.46348,2
T-a9dd335e-a990-420f-b1b8-fde62809ffcb,across,MOCK01:circle:USDC,10.638192,0
T-96ffecf2-e57b-4b0c-81a9-857cc15db34b,across,MOCK01:circle:USDC,4.9660354,0
T-9f5b31c3-04f1-4b9d-b474-95885315dbca,across,MOCK02:ethereum:ETH,64.403175,6
T-e1e44fa3-7825-473d-9045-9e98bb83ddac,across,MOCK02:ethereum:ETH,103.06961,0
T-ab348b00-d192-452a-acdb-981c572837fd,across,MOCK02:ethereum:ETH,14.324191,4
T-406c58d1-ba1d-4d3d-9c35-f457a68fe7f3,across,MOCK01:circle:USDC,4.9626393,0
T-7fa9b72b-030f-4c3d-a61b-9d19a083d878,across,MOCK02:ethereum:ETH,7.524366,2
T-ceda013e-3b7f-4896-aa4f-7013dfb86991,across,MOCK02:ethereum:ETH,7.54052,0
T-ac607927-30f9-4c80-8940-f3aefb7ced06,across,MOCK01:circle:USDC,4.962891,0
T-a168671a-5bd3-46cb-9f4b-2b95354776c4,across,MOCK01:circle:USDC,99.72775,6
T-2b20be1a-5b7c-4cd2-ae61-99eb7a65aef2,across,MOCK01:circle:USDC,19.767122,2
T-f17344f3-bb2c-47fc-8eca-3fd28ac51679,across,MOCK01:circle:USDC,1695.6151,16
T-f656ce88-2965-461e-a4f4-fbca61443954,across,MOCK01:circle:USDC,51.598976,15
T-62fbba09-6b05-4a18-814a-db3c68744fa4,across,MOCK02:ethereum:ETH,30.105055,6
T-b06be4fa-0d4f-44fa-b3bf-20e9f9c34d8d,across,MOCK02:ethereum:ETH,23960.523,21
T-75174ba3-ed61-4b4d-91ca-1093a6adc8a1,across,MOCK01:circle:USDC,9.998292,0
T-3c368d52-e93d-4efd-8133-92c8b3afb3a7,across,MOCK02:ethereum:ETH,6.8598437,0
T-f5d05e70-c008-415b-97a2-d2c4be65c4f7,across,MOCK02:ethereum:ETH,38.587418,4
T-e96fcf73-3c67-4521-ad6d-79de6afc5d03,across,MOCK01:circle:USDC,49.565334,10
T-cd6cadb8-8b75-4048-a675-eb4efbe7aede,across,MOCK01:circle:USDC,5.4062605,0
T-7c229a68-40f5-43b8-a362-f54428bce221,across,MOCK02:ethereum:ETH,6.6181,8
T-16f46fdc-bbfb-4cd0-91db-9ca16abc4945,across,MOCK02:ethereum:ETH,10.364036,2
T-b184ac3c-a1a9-4f1d-a537-c6cf1e3b5bc6,across,MOCK02:ethereum:ETH,1.9836862,10
T-50e649d5-7827-4af1-9f37-05572887b6d6,across,MOCK01:circle:USDC,56.368107,3
T-c7a70119-5c05-4799-a2aa-3cc139440fee,across,MOCK02:ethereum:ETH,117.29746,16
T-619f9888-4d46-4bf3-a00f-0e7884ca175f,across,MOCK01:circle:USDC,30.835024,4
T-c90646c6-2222-404b-85b3-3e1f6c22644c,across,MOCK03:tether:USDT,147.51588,36
T-bc6ff6b2-78b3-4c03-b075-9c714c53f6b4,across,MOCK01:circle:USDC,79.63912,2
T-5791165d-36eb-43bf-a6d0-2742bd120a58,across,MOCK02:ethereum:ETH,152064.9,10
T-df65a76f-e3bb-4389-ba0c-ac5898af150a,across,MOCK01:circle:USDC,122.72762,0
T-c665562c-91ea-44f8-b0ea-5b6906c1ffa0,across,MOCK02:ethereum:ETH,86.915115,10
T-165eb929-44af-49be-b4a8-e865e1dcab65,across,MOCK01:circle:USDC,8.515938,0
T-9ec1d791-0a10-480d-ae31-46b93329f6bf,across,MOCK01:circle:USDC,4.362174,1
T-d02e536c-c82f-426d-8da9-31ecb1cb6bd8,across,MOCK02:ethereum:ETH,1944.6716,26
T-c64d314d-d9aa-4e34-8651-c16f330916f1,across,MOCK02:ethereum:ETH,276.58783,8
T-1c74dfdb-c4b2-406c-aef5-5ebe5050113b,across,MOCK02:ethereum:ETH,192.4138,18
T-9c7aed1e-3ad8-479e-bea0-9386a0d9ae8d,across,MOCK13:synthetix:SNX,56450.406,28
T-ca72502d-93f3-427c-b388-203452969934,across,MOCK02:ethereum:ETH,394.78372,12
T-77a82eca-285d-42ed-94fa-8b32dee470c9,across,MOCK02:ethereum:ETH,23.151495,8
T-90743d63-8781-49c8-869c-1ceb0357ec1f,across,MOCK02:ethereum:ETH,8.407608,4
T-31ccfb79-00af-41df-a016-4196279b2960,across,MOCK01:circle:USDC,15.429394,0
T-a2a1cf3e-a935-4ae9-a440-ae7bb09b7433,across,MOCK02:ethereum:ETH,18.81471,2
T-04db6d64-10f3-408c-a020-2db0f5862e8e,across,MOCK01:circle:USDC,79.01579,10
T-11c95bfe-2bfd-4b2e-a561-6fdbce11366f,across,MOCK01:circle:USDC,59.9883,6
T-f0e901a0-afd0-4ee7-89a9-6f79d845a001,across,MOCK01:circle:USDC,49990.6,8
T-22d026a6-04a5-4a8a-8746-dbbe28db495b,across,MOCK01:circle:USDC,29.882961,0
T-133608a4-f9e3-4ce9-8e86-715fc083d607,across,MOCK02:ethereum:ETH,75.72274,14
T-d0990f70-245e-4344-a7af-8fb851b47a5a,across,MOCK02:ethereum:ETH,4.8152666,1
T-963f9b1c-a22d-48e0-99e2-67af338d7e5b,across,MOCK02:ethereum:ETH,5.4928923,8
T-3b6210fe-4f2b-4ecc-9c1a-5a6b68d6bad2,across,MOCK02:ethereum:ETH,7.817003,2
T-4a342d4c-01dd-49c1-9202-d3e7ba2ea989,across,MOCK02:ethereum:ETH,1.164007,2
